Words,Rank,Frequency 
Matthew Broderick adopts just the right attitude for his role in “Wonderful World.”,5375,1
World's clumsiest kung fu fighter. Heavy going.,5376,1
Edwardian Britons in Tuscany. Fine cast surmounts flat staging.,5377,1
"Smart Bronx spitfire charms way to success. Scrappy, alluring caper.",5378,1
"Gay man and straight woman have baby. Starts out lighthearted, then loses credibility.",5379,1
Baby elephant searches for its mother. A custard of cloying anthropomorphism.,5380,1
"In “The Girl With the Dragon Tattoo,” Noomi Rapace more or less looks the part that the filmmakers don’t let her fully play.",5381,1
Doctor and wife can't decide about divorce.,5382,1
Conventional but diverting Middle East kidnap-adventure.,5383,1
A carjacking and one nightmarish ride full of panic and adrenaline shape the lives of four young people in “96 Minutes.”,5384,1
Dishonest bellhop at two-star Tacoma hotel. Rewarding film noir,5385,1
"James Purefoy plays the title character in “Solomon Kane,” based on the Robert E. Howard novel.",5386,1
Mildly romantic tale of plain girl touring Orient.,5387,1
“Fire in Babylon” is a history of the West Indies’ dominance of international cricket in the 1970s and ’80s and the symbolic weight its teams carried in a post-colonial era.,5388,1
Feathers and gore. Help yourself.,5389,1
"This film, filled with beautiful people, is a reluctant thriller about a rock star, her current lover, her former lover and a pretty young thing.",5390,1
Musical update of Jesus' story. Better on Broadway.,5391,1
"Bust, mainly. Some funny bits.",5392,1
"In Joe Berlinger’s documentary “Hank: Five Years from the Brink,” Henry M. Paulson Jr., the former Treasury secretary, works his way through a timeline.",5393,1
Listless romp in desert.,5394,1
Control freak's life disrupted.,5395,1
Vintage radio team in story of struggling theater troupe. Really dipping into the barrel.,5396,1
"“Oblivion” is a movie so suffused with feeling for its human subjects that when a man starts weeping, you don’t feel dirty about watching his tears fall.",5397,1
Unexceptional youth schemes to get into dream girl's school. As mediocre as its message.,5398,1
"Roger Swanson (Campbell Scott), the slick motor-mouthed adman who jabbers his way through Dylan Kidd's impressive filmmaking debut, is one of those bar-room pundits who have an answer for everything, including a  Darwinian philosophy of sex whose pseudo-scientific logic camouflages a deep  misogyny. The movie follows Roger and Nick (Jesse Eisenberg), his innocent teenage  nephew from Ohio, through a grueling night of New York pub-crawling during which Roger tutors Nick on how to pick up women. Mr. Scott's portrayal of this charismatic creep is a dazzling star turn and change of pace for an actor who usually plays  earnest good guys. — Stephen Holden",5399,1
"In a film that promises an “epic journey” to explore her family’s “long-buried suffering,” the director, Gayle Kirschenbaum, interviews her mother, now in her 90s.",5400,1
"Bryan Singer, who also directed the first adaptation of the great Marvel comic book X-Men, once again respects the earnest emotion of his source material, which raises adolescent disaffection to an apocalyptic scale. This time the mutants are threatened by a human scientist (Brian Cox) who wants, for complex psychological reasons, to wipe them off the face of the earth. As they try to stop him, the X-Men explore their own emotions and relationships, and it is their hurt feelings and identity crises that give the movie some dramatic heft to accompany the expected explosions, high-flying fistfights and not-quite-sublime special effects. — A. O. Scott",5401,1
From the dexterous mind of the Portuguese filmmaker João Pedro Rodrigues comes a head trip through the landscape of desire.,5402,1
"French Midi peasants. Captivating, memorable melodrama.",5403,1
"This sweet-natured but plodding adaptation of a young adult novel by Carl Hiaasen could have used a little less broad satire of corporate greed and a few more, well, owls.",5404,1
"Silent Hollywood with Loesser songs. Colorful and zingy, at first.",5405,1
"“The Love Guru” is downright antifunny, an experience that makes you wonder if you will ever laugh again.",5406,1
The film follows the poet to the United States in an era when the romantic notion that drunkenness was a shortcut to enlightenment held sway.,5407,1
"“Before I Forget” is an unblinking portrait of a complicated, solitary gay man who has outlived his working years.",5408,1
"The Taiwanese director Edward Yang’s second feature, a portrait of urban alienation from 1985, is getting a theatrical release in the United States.",5409,1
"A science-fiction romance starring Robert Redford begins with the premise that proof of what’s next has been found. After that, things turn ugly.",5410,1
"“The Life of Reilly” is built around “Save It for the Stage,” a one-man stage show by Charles Nelson Reilly, a showbiz gadfly and Tony Award-winning theater director.",5411,1
"Oil heir poses as water-ski instructor. The usual, with music.",5412,1
"In &#8220;Farewell Herr Schwarz,&#8221; Yael Reuveny follows the trail of relatives who were torn apart.",5413,1
"Unwanted corpse in Hamptons. Broad, clumsy farce.",5414,1
Man obsessed with woman who died in car bombing. Painfully earnest.,5415,1
Young Chinese girl takes father's place in war against the Huns. Formulaic.,5416,1
“Don’t Be Afraid of the Dark” is a reimagining of the 1973 television movie that terrified Guillermo del Toro as a boy.,5417,1
"In this free-spirited romp through the supermarket, potty-mouthed foodstuffs give voice to matters both humorous and spiritual.",5418,1
Rachel McAdams and Noomi Rapace negotiate a dangerous office environment in Brian De Palma’s “Passion.”,5419,1
"Liew Seng Tat’s film is providing a delicious, quirky example of what the camera can do just by being an unhurried observer.",5420,1
Four hotel skits by Neil Simon. Three of them good.,5421,1
"Immigrant Jews in Baltimore. Fond, overflowing family album.",5422,1
Daydreaming housewife.,5423,1
"“Leonie,” a biopic, stars Emily Mortimer in the story of Isamu Noguchi’s mother.",5424,1
Surrogate motherhood in 1838 England. Soft-focus bodice ripper with ``Masterpiece Theater'' gloss.,5425,1
"“Stardust” is a sprawling, effects-laden fairy tale with the thundering stamina of a marathon horse race.",5426,1
"Martin Lawrence and Will Smith return as a pair of Miami detectives, joined this time out by Gabrielle Union, playing a D.E.A. agent who is also Mr. Lawrence's sister and Mr. Smith's love interest. The movie's unconscionable length is achieved by some extravagant car chases and a steady stream of gruesome violence, wearying profanity and narrative idiocy. Afterward, you feel more beaten up than exhilarated, but the cast at least seems to be having some fun. The two main characters don't do anything new, but the homeboy psychobabble that punctuates their action-hero exertions gives this punishing, bombastic picture some moments of levity. — A. O. Scott",5427,1
In “John Carpenter’s The Ward” there is much to remind the viewer of a director’s past heyday.,5428,1
"Simon's picturesque 1942 clan, nicely shifted from Broadway.",5429,1
"&quot;Chocolat&quot; poses a less-than-penetrating question: Can the liberating virtues of pleasure   —   here embodied by the warm, inviting power of chocolate   —   triumph over well-meaning but closed-minded small-town zealots? The director, Lasse Hallstrom, has an almost supernatural faith in his ability to pull the movie off, and darned if he doesn't.",5430,1
"Wagon train leader and Sioux chief's daughter. The usual, but it moves.",5431,1
"Good, high-style production for hokey gothic melodrama.",5432,1
"Original, often moving treatment of youth at bay in rural Georgia.",5433,1
Cops and mob pursue small-time thieves who hit it big. Entertaining action melodrama that owes much to Matthau.,5434,1
"The documentary “Fame High” trains its cameras on the Los Angeles County High School for the Arts, where dance, music and theater students struggle to develop expertise and succeed.",5435,1
Three brothers return to their coal-mining hometown. Strong drama written by David Storey.,5436,1
"In Nanouk Leopold&#8217;s &#8220;It&#8217;s All So Quiet,&#8221; a middle-aged farmer waits on his bedridden father while making plans for when he dies.",5437,1
"Outlaw, brother and sheriff vs. Mexican bandits. Standard, churning western. Some help from wry Jim.",5438,1
"Mel Gibson's version of the last 12 hours in the life of Jesus, controversial long before it was seen, is a harrowingly violent spectacle that invites the audience's revulsion in the hopes that it will turn into something like awe. After a horror-movie beginning, complete with demons, menacing music and creepy camera moves, Mr. Gibson settles into a long, relentless contemplation of torture, maiming and execution. His stated goal was realism, but the emphatic musical, visual and aural effects — the first nail is driven into Jesus' palms with a sickening thwack that must have required hours of digital tweaking — make the film a melodramatic exercise in high-minded sadomasochism. Despite concerns about the anti-Semitism of Mr. Gibson's portrayal of the Pharisees, the movie is more grueling and unnerving than outrageous or offensive. For a movie made out of such evident religious conviction, it seems utterly lacking in grace. — A. O. Scott",5439,1
"New Zealand's last woman and two men on earth caper. Zips along with snappy surprises, odd angles, crisp cuts and other foolery. Dig it.",5440,1
"God, no less -- over the radio. Earnest but less than awesome.",5441,1
"What is an actor with the crunching gravitas of Laurence Fishburne doing in a flimsy motorcycle movie like &quot;Biker Boyz&quot;? Glowering behind a Fu Manchu mustache, he plays Smoke, the &quot;King of Cali&quot; and leader of the Black Knights, an underground California motorcycle club made up of white-collar African-Americans who shed their business attire off-hours to put on leather and go racing. &quot;Biker Boyz,&quot; directed by Reggie Rock Bythewood, imagines itself a leaner, hipper, African-American-slanted answer to &quot;The Fast and the Furious,&quot; but it has little of the visceral energy of its forerunner and none of its adolescent sense of grandeur. &#151; Stephen Holden",5442,1
"President and alcoholic first lady go to Africa. Broad, to put it mildly.",5443,1
Private school students held hostage. Repellent.,5444,1
"In David Gordon Green’s “Joe,” Nicolas Cage stars as a steely ex-convict who tries to help a boy with an abusive home life.",5445,1
Two Marine aviators vie for the love of a nurse in Nicaragua. Staided old-timer.,5446,1
Traveling salesman poses as husband of pregnant wine heiress. Awkward.,5447,1
“The Decomposition of the Soul” tackles the unsettling topic of the East German Stasi in a way that might make your flesh crawl.,5448,1
"Irish couple deal with not being perfect. Quite likable in its sly, rambling way.",5449,1
"Middling, passable nonsense. Subdued Lewis takes back seat to Curtis. Stolen by Thelma.",5450,1
Rodeo star's comeback. Okay but done better before and since.,5451,1
Teenage soul-searching during detention. Has its moments.,5452,1
A most unfortunate specimen.,5453,1
"Probing drama of man's corruption in Fascist Italy, from Moravia novel.",5454,1
"In “The French Minister,” Thierry Lhermitte embodies classy chaos in the title role of Bertrand Tavernier’s dry, sly farce about diplomatic life.",5455,1
Mild reprise of old story. Some sharp characterizations and dialogue.,5456,1
"Welcome back, Buster, any time. Silent comedy.",5457,1
Milling little musical. Best song defines it: ``Jeepers Creepers.'',5458,1
"The documentary “Ferlinghetti: A Rebirth of Wonder” looks at the poet Lawrence Ferlinghetti, publisher of Allen Ginsberg and a founder of the City Lights bookstore in San Francisco.",5459,1
"In “Miss Granny,” a woman whose family plans to place her in a retirement home suddenly turns back into her 20-year-old self.",5460,1
One-woman stage comedy.,5461,1
"Pat, cluttered and glum.",5462,1
"England's Charles II, loose in Holland. Anyway, it moves.",5463,1
"Murder witness flees to the wilds. Medium, scenic suspense.",5464,1
A woman tries to win the love of her philandering husband. Structurally weak.,5465,1
"Painless old-style milling. Nice tunes: ``Night in Manhattan,'' ``Here's Love in Your Eye.''",5466,1
"This documentary is Nick Broomfield's second cinematic examination of Aileen Wuornos, the Florida serial killer and truck-stop prostitute who  murdered several of her clients and pleaded self-defense but was sentenced to death; she  was executed on Oct. 9, 2002. While the earlier film (in 1992) documented the cynical  marketing of her story, the new one follows her all the way to her execution and looks  into her troubled past. The film is absorbing partly because its clinically paranoid subject  exudes a scary charisma. But although its portrait of Wuornos is sympathetic and  becomes the basis for a screed against capital punishment, its arrival right on the heels of &quot;Monster,&quot;  in which Charlize Theron delivers an eerily accurate impersonation of Wuornos, smacks  of the very exploitation Mr. Broomfield so righteously condemns. — Stephen Holden",5467,1
Movie director's life. Self-conscious spinoff of Fellini's ``8 1/2.'' Fairly holding.,5468,1
Plane in trouble. Perceptive drama.,5469,1
Small-town aunt and teenage sisters. Haunting comedy.,5470,1
Estranged family man turns guerrilla vs. overnight dictatorship in New Zealand.,5471,1
"This romance illustrates the struggle for African independence from colonialism, under the shadow of apartheid.",5472,1
"“Crank: High Voltage,” starring Jason Statham as a man with a machine instead of a heart, is boorish, bigoted and borderline pornographic.",5473,1
"In “Declaration of War,” which carries echoes of the French New Wave, a child’s illness spurs a family to action.",5474,1
World War I pilots.,5475,1
"A febrile blend of facts, liberal outrage and emotional manipulation, Robert Greenwald’s documentary examines the role of private contractors in Iraq.",5476,1
"The women, part of the giant step for mankind, have their stories told in this movie directed by Theodore Melfi.",5477,1
Aditya Assarat’s “Hi-So” chronicles the cultural alienation felt by a Thai student returning home after finishing college in America.,5478,1
Denis C&#244;t&#233;&#8217;s semi-documentary &#8220;Joy of Man&#8217;s Desiring&#8221; captures the humanity of factory workers as they encounter frustrations and the occasional moment of satisfaction.,5479,1
"Watching wasted people stumble from one fix to the next is rarely riveting cinema, and “Cocaine Angel” does little to disprove that rule.",5480,1
Innocent new teacher battles gangs. Senseless comedy.,5481,1
"New Yorker in love with two women. Sour, formula-ridden romantic comedy.",5482,1
Tiresome trifle about wartime marriage.,5483,1
They're really straining now. But pleasant enough.,5484,1
"In Oliver Stone’s film, Gordon Gekko returns as a villain who is more charismatic than the good guys.",5485,1
Jake Gyllenhaal and Anne Hathaway star in a romantic comedy set in the dawning of the age of Viagra.,5486,1
Aliens help brownstone residents. Two veterans keep it going and going.,5487,1
Jack the Ripper. Florid but richly atmospheric.,5488,1
"Political murder, Uruguay. Engrossing, well played but fumbles on culminative impact.",5489,1
"Awful drama about kissin' cousins -- literally -- shot in Spain, Sweden and London.",5490,1
"Highly entertaining DeMille caper of wife playing temptress to fix errant spouse. Good, spangly fun, with incredible dirigible climax.",5491,1
"Airline pilots, back when.",5492,1
There’s a riveting story lurking inside “Holly.” It’s just not the one the filmmakers want to tell.,5493,1
``Saturday Night Live'' extraterrestrials. Has some dopey charm.,5494,1
"In a 1993 gem from this revered Japanese animation studio, high school boys in a small island city encounter a girl from Tokyo.",5495,1
"A wastrel becomes Francis of Assisi, founder of an order; via Franco Zeffirelli. A big absurd doodad, that confuses simplicity with simplemindedness.",5496,1
"In which Santa (Tim Allen) returns from the North Pole to find a wife and patch up his relationship with his teenage son. Meanwhile, back at the office, a rogue toy Santa (Mr. Allen) has staged a coup d'etat and is threatening to fill the stockings of the world's children with coal. Instead, the kind people at Disney offer them this disposable holiday goodie, decked out with maudlin spirit-of-the-season hokum and smirky Tim Allen charm for the grownups. — A. O. Scott",5497,1
"Wooden version of Winsor's Restoration novel, with some pious sop for the censors.",5498,1
"Tame, rather tepid teaser about amnesiac prowling New York. Best work: Suzanne.",5499,1
"“Sugar” is infused with a deep affection for baseball, the rhythms of which are captured by a narrative pace and editing style that quicken and relax as necessary.",5500,1
"“Monsters vs. Aliens” cheerfully converts two major sources of cinematic terror into wacky, goofy, familiar figures.",5501,1
"Charming family diversion, with a climactic horse race to end them all. Anne won supporting Oscar.",5502,1
Swashbuckler adventure.,5503,1
"Raw but memorable depiction of Sao Paolo street youngsters. Unflinching, be warned.",5504,1
"Tiger hunter encounters an old love. Slow and contrived, except for the tiger and I. S. Johar, as a servant.",5505,1
"In John Hoffman's &quot;Good Boy!&quot; all dogs came from outer space. They were supposed to rule earth but ended up as loving pets instead, which horrifies an extraterrestrial Border terrier sent to check on how things are going. But that terrier (with the voice of Matthew Broderick) is just in time to bring love and companionship to Owen (Liam Aiken), a lonely, bullied boy with parents who keep moving the family from town to town. The premise is cute but the execution goes nowhere, with attempts at humor about baby-talking pet lovers, canine flatulence and stereotypical breed behavior. Poodles should sue. &#151; Anita Gates",5506,1
"In “Nymphomaniac: Volume I,” directed by Lars von Trier, Charlotte Gainsburg plays a woman who endures suffering in the pursuit of sex.",5507,1
"James Solomon’s documentary traces Bill Genovese’s efforts to unravel his sister’s 1964 murder, a Queens case long seen as the epitome of urban apathy.",5508,1
“The Mysteries of Pittsburgh” is a clumsy and confused adaptation of Michael Chabon’s 1988 novel.,5509,1
"Virtuous teenage surfer girl on vacation has boyfriend problems. Painless, except for squealy Deb.",5510,1
New York policemen seek rapist. Old hat.,5511,1
Minimum output.,5512,1
Interesting Graham Greene drama beautifully played. Catch this.,5513,1
Leafy and slender.,5514,1
“Bachna Ae Haseeno” grows more serious and interesting as it contemplates the various permutations of romance in a culture with rapidly changing sexual mores.,5515,1
Skeletons in Louisiana family's closet. As overstuffed as Fibber McGee's.,5516,1
"Gangster brothers seek revenge for family murder. Hotblooded, well acted.",5517,1
"Raul Julia, Joan Hackett. So-so drama about exploited boy.",5518,1
“Bridge to Terabithia” is a movie whose emotional depth could appeal more to adults than to their offspring.,5519,1
Tevye and his daughters in changing times. Beautifully expanded from the stage.,5520,1
"The hoop dreams of the teenage girls in the documentary ""The Heart of the Game"" are fairly straightforward if a wee bit intense.",5521,1
Rick's place. Still fabulous.,5522,1
Lovesick teenager. Surreal romantic comedy.,5523,1
"Right now, there's no more  likely candidate to assume the crown of the people's princess, Hollywood style, than 21-year-old Kate Bosworth, who has, as they say, the glow. And &quot;Win a Date With Tad Hamilton!,&quot; a sweet little nothing of a romantic comedy that has all the edge of an  overstuffed cream puff, is just the sort of innocuous vehicle that can carry an aspiring  princess another step closer to royal status. Ms. Bosworth's character is a star-struck  supermarket checker in a West Virginia hamlet who wins a date with her Hollywood  heartthrob (Josh Duhamel). He, in turn, is captivated by her wholesome innocence and  goodness and thinks she can reform him from his bad-boy ways. The movie pits the  Hollywood smoothie against a nice hometown boy (Topher Grace) in a struggle for her  affection. Think of it as a kind of &quot;Sweet Home Alabama&quot; revisited in which the heroine finds herself in a win-win situation. — Stephen Holden",5524,1
Three segments explore violence and hatred in Macedonia. Hauntingly oblique images of a treacherous world.,5525,1
Cocktail waitress and abused wife run away to Alaska. No ``Thelma and Louise.'',5526,1
An odd young Greek woman tries to socialize herself.,5527,1
Julio Quintana’s film centers on a young man who arouses ire when he sets out to build a boat after witnessing tragedies in his seaside village.,5528,1
"The documentarian Roberto Minervini portrays drug use, alienation and militarization among the disaffected in West Monroe, La.",5529,1
“Go Grandriders” follows a gang of elderly motor scooter riders as they try to circumnavigate Taiwan on its scenic and crowded coastal roads.,5530,1
Coasting low.,5531,1
Hellman play about passive American diplomat as Naziism spreads. Rather stacked but intelligent drama. Sylvia best.,5532,1
"“Adore,” the first-English language film of the French director Anne Fontaine, has mothers finding lovers at the neighbor’s.",5533,1
"Odd, synthetic number about cold war fliers.",5534,1
The original male babysitter. Bright and amusing.,5535,1
"Usual cattleman- rustler wrangling, enhanced by Brazil locale.",5536,1
The daring duo and Batgirl take on Mr. Freeze and Poison Ivy. Squashed characters and plot.,5537,1
Impressionable young boy turns to crime. Truffaut's perceptive self-portrait. A beauty.,5538,1
"Two drivers, car and truck. Compelling suspense via young Spielberg.",5539,1
Protecting armored car shipment during flood. Shallow.,5540,1
Loan shark's wife with multiple jobs.,5541,1
"Home for orphaned boys. Earnest, respectable, not bad.",5542,1
Ghost of electrocuted man haunts crumbling prison and warden.,5543,1
"She wants to make serious movies, but the available job is in the sex-film business.",5544,1
Student possessed by vengeful spirit of slain prom queen.,5545,1
Jagger bouncing around as an Australian cowboy. Best for his addicts.,5546,1
"“The Sweeney” follows Jack Regan, the leader of an elite London police unit whose tactics emulate those of the thugs it pursues.",5547,1
"Farfetched tale of autistic child partly redeemed by love of good woman, bad man. Slow and  monotonous.",5548,1
Bum mistaken for millionaire. Esther and Ann barely dip or twirl; Red hogs it all.,5549,1
Tyrannical king has horrifying visions.,5550,1
Mr. Mortensen is just one of the reasons to see this film about a family forced to leave their home in the woods and become reacquainted with society.,5551,1
"Austrian Emperor Francis Joseph's son, Rudolf, falls in love with a commoner.",5552,1
"This romantic comedy about a rich piggy  developer (Hugh Grant) and the left-wing lawyer (Sandra Bullock) he hires as his chief  counsel is so vague and undernourished it makes one of Nora Ephron's low-cal  strawberry sodas seem as tempting as a Philip Barry feast. Beyond being entirely unbelievable, Ms. Bullock's yammering Minnie Mouse and Mr. Grant's stammering Prince Charming have zero romantic chemistry. &#151; Stephen Holden",5553,1
"Gangster corn, okay Bogie.",5554,1
Anemic fluff about playboy posing as paid dancing partner. One survivor: that song.,5555,1
"Splintering Washington-New York marriage, from Ephron novel. Wise, empty chatter.",5556,1
Hillbillies riled over missile base. Obvious and sloppy. Kiss this off quick.,5557,1
Heist job with futuristic car. Jones adds touch of class.,5558,1
“Step Up 2 the Streets” posits a universe where racial and class differences are minor obstacles to fun and pretends its clichés aren’t clichés.,5559,1
Dying poet returns to Spain and reunites with lover.,5560,1
"Victorian suffragist. Compelling drama, capable cast and catnip for young Kate, who's super.",5561,1
"Kevin Hart’s new stand-up comedy film mines his personal and professional low points, as well as parenthood, for material.",5562,1
"Love, death and emotional withdrawal in Louisiana. Good, pungent expansion of Tennessee Williams. Anna's Oscar.",5563,1
"The documentary “Benda Bilili!” tells the story of a band, most of whose members are disabled from polio, that rose from poverty in Congo to become an international sensation.",5564,1
Animated,5565,1
"Typical, soul-searching Cassavetes drama of troubled brother and sister. Not his best.",5566,1
“War Story” centers on an overseas American photographer with a damaged psyche.,5567,1
``Les Liaisons Dangereuses'' goes to high school. Half-baked and faintly ridiculous.,5568,1
"This clever hide-and-seek game of reality versus fiction is not the movie you think it is until the final credits roll and its production notes have been consulted. An aspiring Las Vegas dancer, in exile from Los Angeles  after being fired from his writing job on the show &quot;Six Feet Under,&quot; Christian Taylor, a  handsome, diffident Englishman, endures one humiliating rejection after another on his  way to a shabby new career. The lesson of the movie (which seems false and contrived in retrospect) is how disturbingly easy it is for an audience to trust what it sees when  confronted with a film posing as a factual documentary (with real celebrities thrown in  for bogus authenticity). &#151; Stephen Holden",5569,1
Italian peasants on a feudal estate at the turn of the 19th century.,5570,1
“William Kunstler: Disturbing the Universe” is a refresher course on the history of American left-wing politics in the 1960s and ’70s.,5571,1
"The documentary “How Much Does Your Building Weigh, Mr. Foster?” is an admiring look at the British architect Norman Foster.",5572,1
"For Jason Bourne, who rises and rises again in this fantastically kinetic, propulsive film, resurrection is the name of the game, just as it is for franchises.",5573,1
"Tom DiCillo’s film “When You’re Strange” assembles clips of the Doors shot between 1966 and 1971, with solemn narration by Johnny Depp.",5574,1
"American journalist and Soviet girl. The old story, for all the trimmings.",5575,1
"In “R.I.P.D.,” Jeff Bridges and Ryan Reynolds are members of a heavenly police force that hunts dead villains and sends them to hell.",5576,1
"Merchant Marine in WWII. Colorful, burly drama.",5577,1
"Irish tenor is focus of intrigue and blarney at Liverpool theater club. Deft, engrossing, flavorsome.",5578,1
Down-and-out sleuth falls for woman he was hired to frame.,5579,1
"The director Lasse Hallstrom (“Chocolat”) has transformed “Salmon Fishing in the Yemen,” based on an absurdist political satire, into a whimsical romantic comedy.",5580,1
War-ravaged Berlin.,5581,1
"“Chasing Ice” documents the work of James Balog, who aims to illustrate the effects of global warming.",5582,1
"“The Sitter,” an on-and-off funny rehash of “Adventures in Babysitting,” centers on a college dropout who reluctantly agrees to mind three children for pay.",5583,1
A plane with a stewardess leaves Los Angeles with a gangster on board.,5584,1
"“Fur” is a folly, though not a dishonorable one.",5585,1
"This drama from Philippe Garrel depicts two filmmakers, one of whom is a philandering husband. But Mr. Garrel is more interested in the story’s women.",5586,1
"Chilly, milling melodrama about silver-market swindle. Skip it.",5587,1
"Nathan Morlando’s film may focus on two young lovers, but Bill Paxton shines as a corrupt sheriff in one of his final film roles.",5588,1
"Survivors of a plane crash are dying in “36 Saints,” and two detectives try to stop the apparently supernatural forces behind the killings.",5589,1
"As Felix (Sami Bouajila), a freewheeling gay dockworker of Arab descent, tries to find his father in this slight comedy-drama, he wanders into a whole new family. The directors, Olivier Ducastel and Jacques Martineau, who also wrote the script, structure the film as a series of vignettes, setting Felix on the road from Dieppe, on the northern coast of France, to Marseilles after he loses his job and impulsively decides he has to meet his father, who has long been absent from his life for reasons that are never explained. On the way, he encounters a series of archetypal characters who become his ad hoc family. — Elvis Mitchell",5590,1
Zhao Dayong’s documentary is a nearly three-hour-long visit to a remote Chinese mountain village.,5591,1
Soap opera set in the slums.,5592,1
Adulterer disappears. Risible.,5593,1
A small-town teenager and a creature released by a geyser are unlikely friends in this live-action eco-fable from the “Ice Age” director Chris Wedge.,5594,1
A strange castle.,5595,1
"A rake's progress. Old story, good acting.",5596,1
"“The Trouble With Romance” is an airless, fragmented feature that’s been kicking around since 2007.",5597,1
"“Jennifer’s Body” takes up a common theme of slasher films — that queasy, panicky fascination with female sexuality that we all know — and turns it inside out.",5598,1
"Albany derelicts, from Kennedy novel. Dreary.",5599,1
"Parents, get ready for the slogan &quot;only in theaters&quot; once again. &quot;Recess,&quot; the smart-alecky animated television series in which T. J. Detweiler and his schoolyard pals fight a never-ending battle against teacher-imposed doldrums at the Third Street School, comes to the big screen with &quot;Recess: School's Out,&quot; probably a momentary stopover on its trip to Blockbuster. The &quot;Recess&quot; movie springs from what could only be called the Post-It school of animation. (Is it possible for drawing to have only one dimension?) To make up for what could charitably be called a visual deficit, the movie comes up with a surfeit of notions. &#151; Elvis Mitchell",5600,1
"The arrival of Alejandro Jodorowsky’s new feature would be grounds for excitement even if the movie, “The Dance of Reality,” were not something very close to a masterpiece.",5601,1
Yuppie poses as student to elude mob. Easygoing but commonplace.,5602,1
A recent high school graduate named Ronnie arrives at her father’s house on the Georgia coast and finds romance with a beach volleyball player.,5603,1
"“Strongman,” Zachary Levy’s lump-in-the-throat portrait of an aging muscleman, is an outsider tale of unforced rawness and lilting poignancy.",5604,1
"Young Guns meet organized crime. Awash in violence and blood, and surprisingly dull.",5605,1
“Back to Normandy” takes a look at how the making of a film affected the village where it was set.,5606,1
Wife of blue-collar boss begins to crack. Often scores but ever so pretentious.,5607,1
“A Glimpse Inside the Mind of Charles Swan III” stars Charlie Sheen as a graphic designer who wants to win back his true love.,5608,1
"So-so whodunit, way below Craig Rice's original.",5609,1
"Pleasant musical, engaging O'Connor.",5610,1
Idealistic candidate for senator. Sharp political satire.,5611,1
"In “The Other Son,” there are psychological and political consequences when children living along the Palestinian-Israeli divide are switched at birth.",5612,1
Filmmaker persuades karate-kicking Mormon missionary to star in porno flick. Horriblo.,5613,1
In the movie musical “Joyful Noise” Queen Latifah and Dolly Parton fight for control of a church choir — and much else — as it prepares for a singing competition.,5614,1
World War II soldiers. Original but verbose.,5615,1
Failed connections in Bosnian war. Exuberant funny valentine to chaos and human decency.,5616,1
"The caressing, honeyed light in “Sin Nombre” beautifies and softens every ugly moment in this equivocating story about geographic and moral border crossings.",5617,1
Good gangland drama with color and drive.,5618,1
"In “Finding Mr. Right,” the pregnant mistress of a rich man leaves China for Seattle, where she finds a new, unexpected love.",5619,1
"“Breathing,” the first film directed by Karl Markovics, follows a 19-year-old who takes a job in the Vienna city morgue.",5620,1
"Standard, but fringe color and characterization.",5621,1
"Not even Cate Blanchett, arguably the most brilliant screen actress of her generation, can hold together the rickety would-be epic of Charlotte Gray, a romantic Scottish woman who works with the French Resistance under an assumed name during World War II. The movie has a serious language problem (the French characters speak English), and the vignettes of Charlotte's adventures in southern France don't string together into a dramatically coherent story. – Stephen Holden",5622,1
Unpretentious and winning.,5623,1
"Satta Flores. Wistful, affectionate comedy and salute to Italian cinema. Very entertaining.",5624,1
"Somewhere around its midpoint, “Across the Universe” captured my heart, and I realized that falling in love with a movie is like falling in love with another person.",5625,1
Delightful romp about two spoiled celebrities who try marriage.,5626,1
African colonials. Foggy drama.,5627,1
"Not here, anyway.",5628,1
"David Mackenzie&#8217;s &#8220;Starred Up&#8221; follows a father and a son who find themselves in the same prison, where power and loyalties are constantly changing.",5629,1
"Mr. Maysles&#8217;s penultimate documentary shows the 93-year-old Ms. Apfel in all her bedecked glory, and the confused reactions she elicits.",5630,1
"A delicate, slightly detached investigation of grief and loss, directed with unusual restraint by François Ozon, and acted with heartbreaking perfection by Charlotte Rampling. As the film opens, Marie Drillon (Ms. Rampling) is setting off on vacation with her husband, Jean (Bruno Cremer); their easy, vaguely sorrowful intimacy is a prelude to the emotional disorientation Marie suffers when Jean apparently drowns. Neither a ghost story nor a psychological case study, although it contains elements of both, &quot;Under the Sand&quot; captures the enigmatic complexities of emotion with bracing objectivity. -- A. O. Scott",5631,1
“The Education of Charlie Banks” is a prickly examination of the sturdiness of class boundaries and the illusion of inclusion.,5632,1
"Dermot Mulroney’s directorial debut, “Love, Wedding, Marriage,” stars Mandy Moore as a psychologist trying to save her parents’ marriage.",5633,1
"Superior Henie ice-cutter, defter plot than usual.",5634,1
"Stitched-together version of his 1990 world tour. Haphazard job, bolstered by scrambled, incoherent news clips. Gets lost.",5635,1
"The Macy's Santa comedy, warmly reassuring as ever.",5636,1
"&quot;Maelstrom&quot; is probably the first romantic drama ever narrated by a smelly dead fish. What might a dead fish have to do with love? It has something to do with the ocean whence life springs. And as it turns out, fish figure prominently in the symbolic structure of this fine French-Canadian film whose protagonist, Bibi Champagne (Marie-Josée Croze), is a beautiful and successful 25-year-old businesswoman. Virtually overnight, Bibi's sleek yuppie existence unravels, and she faces an acute spiritual crisis when she has a series of personal disasters. – Stephen Holden",5637,1
